ligand,gene,uniprot_acc,pocket_id,druggability_score,affinity_kcal_per_mol,status,message
methanol,MEV-1,P41956,15,0.328,-1.5,OK,affinity=-1.50 kcal/mol elapsed=0.8s
npentane,MEV-1,P41956,15,0.328,-3.4,OK,affinity=-3.40 kcal/mol elapsed=1.5s
trans_12_dichloroethylene,MEV-1,P41956,15,0.328,-2.4,OK,affinity=-2.40 kcal/mol elapsed=0.9s
benzene,NCA-2,G5EDM1,173,0.989,-4.2,OK,affinity=-4.20 kcal/mol elapsed=1.8s
cis_12_dichloroethylene,NCA-2,G5EDM1,173,0.989,-2.5,OK,affinity=-2.50 kcal/mol elapsed=1.8s
cyclohexane,NCA-2,G5EDM1,173,0.989,-4.1,OK,affinity=-4.10 kcal/mol elapsed=1.8s
dimethyl_ether,NCA-2,G5EDM1,173,0.989,-1.9,OK,affinity=-1.90 kcal/mol elapsed=1.7s
hexafluoroethane,NCA-2,G5EDM1,173,0.989,-4.0,OK,affinity=-4.00 kcal/mol elapsed=2.4s
methanol,NCA-2,G5EDM1,173,0.989,-1.8,OK,affinity=-1.80 kcal/mol elapsed=1.7s
npentane,NCA-2,G5EDM1,173,0.989,-3.3,OK,affinity=-3.30 kcal/mol elapsed=2.3s
trans_12_dichloroethylene,NCA-2,G5EDM1,173,0.989,-2.3,OK,affinity=-2.30 kcal/mol elapsed=1.8s
benzene,NCA-2,G5EDM1,171,0.964,-4.2,OK,affinity=-4.20 kcal/mol elapsed=2.1s
cis_12_dichloroethylene,NCA-2,G5EDM1,171,0.964,-2.6,OK,affinity=-2.60 kcal/mol elapsed=2.0s
cyclohexane,NCA-2,G5EDM1,171,0.964,-4.1,OK,affinity=-4.10 kcal/mol elapsed=2.0s
dimethyl_ether,NCA-2,G5EDM1,171,0.964,-2.0,OK,affinity=-2.00 kcal/mol elapsed=2.0s
hexafluoroethane,NCA-2,G5EDM1,171,0.964,-4.3,OK,affinity=-4.30 kcal/mol elapsed=2.7s
methanol,NCA-2,G5EDM1,171,0.964,-1.9,OK,affinity=-1.90 kcal/mol elapsed=1.9s
npentane,NCA-2,G5EDM1,171,0.964,-3.3,OK,affinity=-3.30 kcal/mol elapsed=2.5s
trans_12_dichloroethylene,NCA-2,G5EDM1,171,0.964,-2.7,OK,affinity=-2.70 kcal/mol elapsed=2.0s
benzene,NCA-2,G5EDM1,175,0.944,-4.2,OK,affinity=-4.20 kcal/mol elapsed=1.9s
cis_12_dichloroethylene,NCA-2,G5EDM1,175,0.944,-2.5,OK,affinity=-2.50 kcal/mol elapsed=1.8s
cyclohexane,NCA-2,G5EDM1,175,0.944,-4.1,OK,affinity=-4.10 kcal/mol elapsed=1.8s
dimethyl_ether,NCA-2,G5EDM1,175,0.944,-1.9,OK,affinity=-1.90 kcal/mol elapsed=1.8s
hexafluoroethane,NCA-2,G5EDM1,175,0.944,-4.4,OK,affinity=-4.40 kcal/mol elapsed=2.5s
methanol,NCA-2,G5EDM1,175,0.944,-1.8,OK,affinity=-1.80 kcal/mol elapsed=1.7s
npentane,NCA-2,G5EDM1,175,0.944,-3.3,OK,affinity=-3.30 kcal/mol elapsed=2.3s
trans_12_dichloroethylene,NCA-2,G5EDM1,175,0.944,-2.4,OK,affinity=-2.40 kcal/mol elapsed=1.9s
benzene,NLF-1,M4Q8W4,14,0.402,-4.0,OK,affinity=-4.00 kcal/mol elapsed=0.9s
cis_12_dichloroethylene,NLF-1,M4Q8W4,14,0.402,-2.2,OK,affinity=-2.20 kcal/mol elapsed=0.8s
cyclohexane,NLF-1,M4Q8W4,14,0.402,-3.7,OK,affinity=-3.70 kcal/mol elapsed=0.9s
dimethyl_ether,NLF-1,M4Q8W4,14,0.402,-1.6,OK,affinity=-1.60 kcal/mol elapsed=0.8s
hexafluoroethane,NLF-1,M4Q8W4,14,0.402,-3.7,OK,affinity=-3.70 kcal/mol elapsed=1.4s
methanol,NLF-1,M4Q8W4,14,0.402,-1.5,OK,affinity=-1.50 kcal/mol elapsed=0.7s
npentane,NLF-1,M4Q8W4,14,0.402,-3.3,OK,affinity=-3.30 kcal/mol elapsed=1.4s
trans_12_dichloroethylene,NLF-1,M4Q8W4,14,0.402,-2.1,OK,affinity=-2.10 kcal/mol elapsed=0.8s
benzene,NLF-1,M4Q8W4,13,0.389,-3.6,OK,affinity=-3.60 kcal/mol elapsed=1.4s
cis_12_dichloroethylene,NLF-1,M4Q8W4,13,0.389,-2.7,OK,affinity=-2.70 kcal/mol elapsed=1.4s
cyclohexane,NLF-1,M4Q8W4,13,0.389,-3.6,OK,affinity=-3.60 kcal/mol elapsed=1.5s
dimethyl_ether,NLF-1,M4Q8W4,13,0.389,-2.1,OK,affinity=-2.10 kcal/mol elapsed=1.3s
hexafluoroethane,NLF-1,M4Q8W4,13,0.389,-4.0,OK,affinity=-4.00 kcal/mol elapsed=2.0s
methanol,NLF-1,M4Q8W4,13,0.389,-2.0,OK,affinity=-2.00 kcal/mol elapsed=1.3s
npentane,NLF-1,M4Q8W4,13,0.389,-3.4,OK,affinity=-3.40 kcal/mol elapsed=1.9s
trans_12_dichloroethylene,NLF-1,M4Q8W4,13,0.389,-2.8,OK,affinity=-2.80 kcal/mol elapsed=1.4s
benzene,NLF-1,M4Q8W4,6,0.265,-3.3,OK,affinity=-3.30 kcal/mol elapsed=0.8s
cis_12_dichloroethylene,NLF-1,M4Q8W4,6,0.265,-2.0,OK,affinity=-2.00 kcal/mol elapsed=0.7s
cyclohexane,NLF-1,M4Q8W4,6,0.265,-3.1,OK,affinity=-3.10 kcal/mol elapsed=0.8s
dimethyl_ether,NLF-1,M4Q8W4,6,0.265,-1.4,OK,affinity=-1.40 kcal/mol elapsed=0.7s
hexafluoroethane,NLF-1,M4Q8W4,6,0.265,-3.3,OK,affinity=-3.30 kcal/mol elapsed=1.3s
methanol,NLF-1,M4Q8W4,6,0.265,-1.3,OK,affinity=-1.30 kcal/mol elapsed=0.7s
npentane,NLF-1,M4Q8W4,6,0.265,-2.8,OK,affinity=-2.80 kcal/mol elapsed=1.3s
trans_12_dichloroethylene,NLF-1,M4Q8W4,6,0.265,-2.0,OK,affinity=-2.00 kcal/mol elapsed=0.8s
benzene,NUO-1,Q17880,18,0.769,-4.4,OK,affinity=-4.40 kcal/mol elapsed=1.2s
cis_12_dichloroethylene,NUO-1,Q17880,18,0.769,-2.6,OK,affinity=-2.60 kcal/mol elapsed=1.2s
cyclohexane,NUO-1,Q17880,18,0.769,-4.0,OK,affinity=-4.00 kcal/mol elapsed=1.2s
dimethyl_ether,NUO-1,Q17880,18,0.769,-2.4,OK,affinity=-2.40 kcal/mol elapsed=1.1s
hexafluoroethane,NUO-1,Q17880,18,0.769,-4.1,OK,affinity=-4.10 kcal/mol elapsed=1.8s
methanol,NUO-1,Q17880,18,0.769,-2.1,OK,affinity=-2.10 kcal/mol elapsed=1.1s
npentane,NUO-1,Q17880,18,0.769,-3.5,OK,affinity=-3.50 kcal/mol elapsed=1.7s
trans_12_dichloroethylene,NUO-1,Q17880,18,0.769,-2.6,OK,affinity=-2.60 kcal/mol elapsed=1.2s
benzene,NUO-1,Q17880,5,0.012,-3.3,OK,affinity=-3.30 kcal/mol elapsed=1.1s
cis_12_dichloroethylene,NUO-1,Q17880,5,0.012,-2.3,OK,affinity=-2.30 kcal/mol elapsed=1.1s
cyclohexane,NUO-1,Q17880,5,0.012,-3.1,OK,affinity=-3.10 kcal/mol elapsed=1.1s
dimethyl_ether,NUO-1,Q17880,5,0.012,-1.6,OK,affinity=-1.60 kcal/mol elapsed=1.0s
hexafluoroethane,NUO-1,Q17880,5,0.012,-3.6,OK,affinity=-3.60 kcal/mol elapsed=1.7s
methanol,NUO-1,Q17880,5,0.012,-1.9,OK,affinity=-1.90 kcal/mol elapsed=1.0s
npentane,NUO-1,Q17880,5,0.012,-2.9,OK,affinity=-2.90 kcal/mol elapsed=1.6s
trans_12_dichloroethylene,NUO-1,Q17880,5,0.012,-2.2,OK,affinity=-2.20 kcal/mol elapsed=1.1s
benzene,NUO-1,Q17880,14,0.011,-4.4,OK,affinity=-4.40 kcal/mol elapsed=3.4s
cis_12_dichloroethylene,NUO-1,Q17880,14,0.011,-2.7,OK,affinity=-2.70 kcal/mol elapsed=3.6s
cyclohexane,NUO-1,Q17880,14,0.011,-4.0,OK,affinity=-4.00 kcal/mol elapsed=3.4s
dimethyl_ether,NUO-1,Q17880,14,0.011,-2.4,OK,affinity=-2.40 kcal/mol elapsed=3.5s
hexafluoroethane,NUO-1,Q17880,14,0.011,-4.2,OK,affinity=-4.20 kcal/mol elapsed=4.3s
methanol,NUO-1,Q17880,14,0.011,-2.1,OK,affinity=-2.10 kcal/mol elapsed=3.5s
npentane,NUO-1,Q17880,14,0.011,-3.5,OK,affinity=-3.50 kcal/mol elapsed=4.2s
trans_12_dichloroethylene,NUO-1,Q17880,14,0.011,-2.6,OK,affinity=-2.60 kcal/mol elapsed=3.8s
benzene,NUO-2,Q86NC2,2,0.106,-4.8,OK,affinity=-4.80 kcal/mol elapsed=1.1s
cis_12_dichloroethylene,NUO-2,Q86NC2,2,0.106,-2.7,OK,affinity=-2.70 kcal/mol elapsed=1.2s
cyclohexane,NUO-2,Q86NC2,2,0.106,-4.5,OK,affinity=-4.50 kcal/mol elapsed=1.2s
dimethyl_ether,NUO-2,Q86NC2,2,0.106,-1.7,OK,affinity=-1.70 kcal/mol elapsed=1.1s
hexafluoroethane,NUO-2,Q86NC2,2,0.106,-5.1,OK,affinity=-5.10 kcal/mol elapsed=1.7s
methanol,NUO-2,Q86NC2,2,0.106,-2.0,OK,affinity=-2.00 kcal/mol elapsed=1.0s
npentane,NUO-2,Q86NC2,2,0.106,-3.7,OK,affinity=-3.70 kcal/mol elapsed=1.6s
trans_12_dichloroethylene,NUO-2,Q86NC2,2,0.106,-2.8,OK,affinity=-2.80 kcal/mol elapsed=1.1s
benzene,NUO-2,Q86NC2,16,0.011,-3.4,OK,affinity=-3.40 kcal/mol elapsed=1.0s
cis_12_dichloroethylene,NUO-2,Q86NC2,16,0.011,-2.2,OK,affinity=-2.20 kcal/mol elapsed=0.9s
cyclohexane,NUO-2,Q86NC2,16,0.011,-3.3,OK,affinity=-3.30 kcal/mol elapsed=1.0s
dimethyl_ether,NUO-2,Q86NC2,16,0.011,-1.9,OK,affinity=-1.90 kcal/mol elapsed=0.8s
hexafluoroethane,NUO-2,Q86NC2,16,0.011,-3.9,OK,affinity=-3.90 kcal/mol elapsed=1.5s
methanol,NUO-2,Q86NC2,16,0.011,-1.9,OK,affinity=-1.90 kcal/mol elapsed=0.8s
npentane,NUO-2,Q86NC2,16,0.011,-2.9,OK,affinity=-2.90 kcal/mol elapsed=1.6s
trans_12_dichloroethylene,NUO-2,Q86NC2,16,0.011,-2.2,OK,affinity=-2.20 kcal/mol elapsed=1.0s
benzene,NUO-2,Q86NC2,14,0.005,-3.2,OK,affinity=-3.20 kcal/mol elapsed=1.0s
cis_12_dichloroethylene,NUO-2,Q86NC2,14,0.005,-2.1,OK,affinity=-2.10 kcal/mol elapsed=0.9s
cyclohexane,NUO-2,Q86NC2,14,0.005,-3.1,OK,affinity=-3.10 kcal/mol elapsed=1.1s
dimethyl_ether,NUO-2,Q86NC2,14,0.005,-1.7,OK,affinity=-1.70 kcal/mol elapsed=0.9s
hexafluoroethane,NUO-2,Q86NC2,14,0.005,-3.7,OK,affinity=-3.70 kcal/mol elapsed=1.5s
methanol,NUO-2,Q86NC2,14,0.005,-1.5,OK,affinity=-1.50 kcal/mol elapsed=0.8s
npentane,NUO-2,Q86NC2,14,0.005,-3.1,OK,affinity=-3.10 kcal/mol elapsed=1.5s
trans_12_dichloroethylene,NUO-2,Q86NC2,14,0.005,-2.3,OK,affinity=-2.30 kcal/mol elapsed=0.9s
benzene,NUO-3,O18236,1,0.963,-4.7,OK,affinity=-4.70 kcal/mol elapsed=1.4s
cis_12_dichloroethylene,NUO-3,O18236,1,0.963,-2.7,OK,affinity=-2.70 kcal/mol elapsed=1.3s
cyclohexane,NUO-3,O18236,1,0.963,-4.8,OK,affinity=-4.80 kcal/mol elapsed=1.4s
dimethyl_ether,NUO-3,O18236,1,0.963,-1.9,OK,affinity=-1.90 kcal/mol elapsed=1.3s
hexafluoroethane,NUO-3,O18236,1,0.963,-5.2,OK,affinity=-5.20 kcal/mol elapsed=1.9s
methanol,NUO-3,O18236,1,0.963,-1.8,OK,affinity=-1.80 kcal/mol elapsed=1.2s
npentane,NUO-3,O18236,1,0.963,-4.0,OK,affinity=-4.00 kcal/mol elapsed=1.8s
trans_12_dichloroethylene,NUO-3,O18236,1,0.963,-2.9,OK,affinity=-2.90 kcal/mol elapsed=1.4s
benzene,NUO-3,O18236,5,0.006,-3.1,OK,affinity=-3.10 kcal/mol elapsed=0.8s
cis_12_dichloroethylene,NUO-3,O18236,5,0.006,-2.2,OK,affinity=-2.20 kcal/mol elapsed=0.7s
cyclohexane,NUO-3,O18236,5,0.006,-3.1,OK,affinity=-3.10 kcal/mol elapsed=0.8s
dimethyl_ether,NUO-3,O18236,5,0.006,-1.6,OK,affinity=-1.60 kcal/mol elapsed=0.7s
hexafluoroethane,NUO-3,O18236,5,0.006,-3.5,OK,affinity=-3.50 kcal/mol elapsed=1.3s
methanol,NUO-3,O18236,5,0.006,-1.5,OK,affinity=-1.50 kcal/mol elapsed=0.6s
npentane,NUO-3,O18236,5,0.006,-2.7,OK,affinity=-2.70 kcal/mol elapsed=1.3s
trans_12_dichloroethylene,NUO-3,O18236,5,0.006,-2.1,OK,affinity=-2.10 kcal/mol elapsed=0.7s
benzene,NUO-3,O18236,8,0.002,-4.3,OK,affinity=-4.30 kcal/mol elapsed=1.0s
cis_12_dichloroethylene,NUO-3,O18236,8,0.002,-2.7,OK,affinity=-2.70 kcal/mol elapsed=0.9s
cyclohexane,NUO-3,O18236,8,0.002,-4.2,OK,affinity=-4.20 kcal/mol elapsed=1.0s
dimethyl_ether,NUO-3,O18236,8,0.002,-1.9,OK,affinity=-1.90 kcal/mol elapsed=0.8s
hexafluoroethane,NUO-3,O18236,8,0.002,-4.4,OK,affinity=-4.40 kcal/mol elapsed=1.5s
methanol,NUO-3,O18236,8,0.002,-1.8,OK,affinity=-1.80 kcal/mol elapsed=0.8s
npentane,NUO-3,O18236,8,0.002,-3.7,OK,affinity=-3.70 kcal/mol elapsed=1.5s
trans_12_dichloroethylene,NUO-3,O18236,8,0.002,-2.6,OK,affinity=-2.60 kcal/mol elapsed=0.9s
benzene,NUO-4,Q21233,1,0.403,-3.4,OK,affinity=-3.40 kcal/mol elapsed=1.5s
cis_12_dichloroethylene,NUO-4,Q21233,1,0.403,-2.6,OK,affinity=-2.60 kcal/mol elapsed=1.5s
cyclohexane,NUO-4,Q21233,1,0.403,-3.3,OK,affinity=-3.30 kcal/mol elapsed=1.5s
dimethyl_ether,NUO-4,Q21233,1,0.403,-2.1,OK,affinity=-2.10 kcal/mol elapsed=1.4s
hexafluoroethane,NUO-4,Q21233,1,0.403,-4.7,OK,affinity=-4.70 kcal/mol elapsed=2.1s
methanol,NUO-4,Q21233,1,0.403,-2.0,OK,affinity=-2.00 kcal/mol elapsed=1.3s
npentane,NUO-4,Q21233,1,0.403,-3.4,OK,affinity=-3.40 kcal/mol elapsed=2.0s
trans_12_dichloroethylene,NUO-4,Q21233,1,0.403,-2.6,OK,affinity=-2.60 kcal/mol elapsed=1.5s
benzene,NUO-4,Q21233,16,0.398,-3.9,OK,affinity=-3.90 kcal/mol elapsed=1.7s
cis_12_dichloroethylene,NUO-4,Q21233,16,0.398,-2.6,OK,affinity=-2.60 kcal/mol elapsed=1.7s
cyclohexane,NUO-4,Q21233,16,0.398,-3.8,OK,affinity=-3.80 kcal/mol elapsed=1.7s
dimethyl_ether,NUO-4,Q21233,16,0.398,-2.2,OK,affinity=-2.20 kcal/mol elapsed=1.6s
hexafluoroethane,NUO-4,Q21233,16,0.398,-4.7,OK,affinity=-4.70 kcal/mol elapsed=2.3s
methanol,NUO-4,Q21233,16,0.398,-2.2,OK,affinity=-2.20 kcal/mol elapsed=1.6s
npentane,NUO-4,Q21233,16,0.398,-3.4,OK,affinity=-3.40 kcal/mol elapsed=2.1s
trans_12_dichloroethylene,NUO-4,Q21233,16,0.398,-2.8,OK,affinity=-2.80 kcal/mol elapsed=1.7s
benzene,NUO-4,Q21233,23,0.224,-4.0,OK,affinity=-4.00 kcal/mol elapsed=1.1s
cis_12_dichloroethylene,NUO-4,Q21233,23,0.224,-2.4,OK,affinity=-2.40 kcal/mol elapsed=1.0s
cyclohexane,NUO-4,Q21233,23,0.224,-3.8,OK,affinity=-3.80 kcal/mol elapsed=1.0s
dimethyl_ether,NUO-4,Q21233,23,0.224,-1.8,OK,affinity=-1.80 kcal/mol elapsed=0.9s
hexafluoroethane,NUO-4,Q21233,23,0.224,-4.1,OK,affinity=-4.10 kcal/mol elapsed=1.5s
methanol,NUO-4,Q21233,23,0.224,-1.8,OK,affinity=-1.80 kcal/mol elapsed=0.9s
npentane,NUO-4,Q21233,23,0.224,-3.2,OK,affinity=-3.20 kcal/mol elapsed=1.5s
trans_12_dichloroethylene,NUO-4,Q21233,23,0.224,-2.5,OK,affinity=-2.50 kcal/mol elapsed=1.0s
benzene,RIC-4,A5PEW5,3,0.082,-3.4,OK,affinity=-3.40 kcal/mol elapsed=1.0s
cis_12_dichloroethylene,RIC-4,A5PEW5,3,0.082,-2.2,OK,affinity=-2.20 kcal/mol elapsed=0.9s
cyclohexane,RIC-4,A5PEW5,3,0.082,-3.1,OK,affinity=-3.10 kcal/mol elapsed=1.0s
dimethyl_ether,RIC-4,A5PEW5,3,0.082,-1.8,OK,affinity=-1.80 kcal/mol elapsed=0.9s
hexafluoroethane,RIC-4,A5PEW5,3,0.082,-3.5,OK,affinity=-3.50 kcal/mol elapsed=1.5s
methanol,RIC-4,A5PEW5,3,0.082,-1.6,OK,affinity=-1.60 kcal/mol elapsed=0.9s
npentane,RIC-4,A5PEW5,3,0.082,-2.7,OK,affinity=-2.70 kcal/mol elapsed=1.5s
trans_12_dichloroethylene,RIC-4,A5PEW5,3,0.082,-2.1,OK,affinity=-2.10 kcal/mol elapsed=0.9s
benzene,RIC-4,A5PEW5,5,0.059,-3.8,OK,affinity=-3.80 kcal/mol elapsed=1.1s
cis_12_dichloroethylene,RIC-4,A5PEW5,5,0.059,-2.6,OK,affinity=-2.60 kcal/mol elapsed=1.0s
cyclohexane,RIC-4,A5PEW5,5,0.059,-3.7,OK,affinity=-3.70 kcal/mol elapsed=1.1s
dimethyl_ether,RIC-4,A5PEW5,5,0.059,-2.0,OK,affinity=-2.00 kcal/mol elapsed=0.9s
hexafluoroethane,RIC-4,A5PEW5,5,0.059,-4.0,OK,affinity=-4.00 kcal/mol elapsed=1.6s
methanol,RIC-4,A5PEW5,5,0.059,-1.8,OK,affinity=-1.80 kcal/mol elapsed=0.9s
npentane,RIC-4,A5PEW5,5,0.059,-3.1,OK,affinity=-3.10 kcal/mol elapsed=1.5s
trans_12_dichloroethylene,RIC-4,A5PEW5,5,0.059,-2.6,OK,affinity=-2.60 kcal/mol elapsed=1.0s
benzene,RIC-4,A5PEW5,7,0.054,-3.8,OK,affinity=-3.80 kcal/mol elapsed=1.0s
cis_12_dichloroethylene,RIC-4,A5PEW5,7,0.054,-2.6,OK,affinity=-2.60 kcal/mol elapsed=0.9s
cyclohexane,RIC-4,A5PEW5,7,0.054,-3.7,OK,affinity=-3.70 kcal/mol elapsed=1.0s
dimethyl_ether,RIC-4,A5PEW5,7,0.054,-2.0,OK,affinity=-2.00 kcal/mol elapsed=0.9s
hexafluoroethane,RIC-4,A5PEW5,7,0.054,-3.9,OK,affinity=-3.90 kcal/mol elapsed=1.5s
methanol,RIC-4,A5PEW5,7,0.054,-1.7,OK,affinity=-1.70 kcal/mol elapsed=0.8s
npentane,RIC-4,A5PEW5,7,0.054,-3.2,OK,affinity=-3.20 kcal/mol elapsed=1.5s
trans_12_dichloroethylene,RIC-4,A5PEW5,7,0.054,-2.6,OK,affinity=-2.60 kcal/mol elapsed=0.9s
benzene,SNB-1,O02495,3,0.549,-3.5,OK,affinity=-3.50 kcal/mol elapsed=0.8s
cis_12_dichloroethylene,SNB-1,O02495,3,0.549,-2.1,OK,affinity=-2.10 kcal/mol elapsed=0.8s
cyclohexane,SNB-1,O02495,3,0.549,-3.2,OK,affinity=-3.20 kcal/mol elapsed=0.9s
dimethyl_ether,SNB-1,O02495,3,0.549,-1.5,OK,affinity=-1.50 kcal/mol elapsed=0.7s
hexafluoroethane,SNB-1,O02495,3,0.549,-3.4,OK,affinity=-3.40 kcal/mol elapsed=1.4s
methanol,SNB-1,O02495,3,0.549,-1.3,OK,affinity=-1.30 kcal/mol elapsed=0.7s
npentane,SNB-1,O02495,3,0.549,-2.9,OK,affinity=-2.90 kcal/mol elapsed=1.4s
trans_12_dichloroethylene,SNB-1,O02495,3,0.549,-2.0,OK,affinity=-2.00 kcal/mol elapsed=0.8s
benzene,SNB-1,O02495,1,0.308,-2.5,OK,affinity=-2.50 kcal/mol elapsed=0.9s
cis_12_dichloroethylene,SNB-1,O02495,1,0.308,-1.7,OK,affinity=-1.70 kcal/mol elapsed=0.7s
cyclohexane,SNB-1,O02495,1,0.308,-2.5,OK,affinity=-2.50 kcal/mol elapsed=0.9s
dimethyl_ether,SNB-1,O02495,1,0.308,-1.3,OK,affinity=-1.30 kcal/mol elapsed=0.7s
hexafluoroethane,SNB-1,O02495,1,0.308,-2.9,OK,affinity=-2.90 kcal/mol elapsed=1.3s
methanol,SNB-1,O02495,1,0.308,-1.3,OK,affinity=-1.30 kcal/mol elapsed=0.7s
npentane,SNB-1,O02495,1,0.308,-2.2,OK,affinity=-2.20 kcal/mol elapsed=1.4s
trans_12_dichloroethylene,SNB-1,O02495,1,0.308,-1.8,OK,affinity=-1.80 kcal/mol elapsed=0.8s
benzene,SNB-1,O02495,2,0.219,-3.5,OK,affinity=-3.50 kcal/mol elapsed=0.8s
cis_12_dichloroethylene,SNB-1,O02495,2,0.219,-2.1,OK,affinity=-2.10 kcal/mol elapsed=0.8s
cyclohexane,SNB-1,O02495,2,0.219,-3.2,OK,affinity=-3.20 kcal/mol elapsed=0.8s
dimethyl_ether,SNB-1,O02495,2,0.219,-1.5,OK,affinity=-1.50 kcal/mol elapsed=0.7s
hexafluoroethane,SNB-1,O02495,2,0.219,-3.4,OK,affinity=-3.40 kcal/mol elapsed=1.3s
methanol,SNB-1,O02495,2,0.219,-1.3,OK,affinity=-1.30 kcal/mol elapsed=0.7s
npentane,SNB-1,O02495,2,0.219,-2.9,OK,affinity=-2.90 kcal/mol elapsed=1.3s
trans_12_dichloroethylene,SNB-1,O02495,2,0.219,-2.0,OK,affinity=-2.00 kcal/mol elapsed=0.8s
benzene,SNT-1,P34693,30,0.678,-3.2,OK,affinity=-3.20 kcal/mol elapsed=1.2s
cis_12_dichloroethylene,SNT-1,P34693,30,0.678,-2.2,OK,affinity=-2.20 kcal/mol elapsed=1.1s
cyclohexane,SNT-1,P34693,30,0.678,-3.2,OK,affinity=-3.20 kcal/mol elapsed=1.3s
dimethyl_ether,SNT-1,P34693,30,0.678,-1.7,OK,affinity=-1.70 kcal/mol elapsed=1.0s
hexafluoroethane,SNT-1,P34693,30,0.678,-3.8,OK,affinity=-3.80 kcal/mol elapsed=1.7s
methanol,SNT-1,P34693,30,0.678,-1.8,OK,affinity=-1.80 kcal/mol elapsed=1.0s
npentane,SNT-1,P34693,30,0.678,-2.8,OK,affinity=-2.80 kcal/mol elapsed=1.7s
trans_12_dichloroethylene,SNT-1,P34693,30,0.678,-2.2,OK,affinity=-2.20 kcal/mol elapsed=1.1s
benzene,SNT-1,P34693,10,0.576,-3.8,OK,affinity=-3.80 kcal/mol elapsed=0.9s
cis_12_dichloroethylene,SNT-1,P34693,10,0.576,-2.4,OK,affinity=-2.40 kcal/mol elapsed=0.8s
cyclohexane,SNT-1,P34693,10,0.576,-3.8,OK,affinity=-3.80 kcal/mol elapsed=0.9s
dimethyl_ether,SNT-1,P34693,10,0.576,-1.4,OK,affinity=-1.40 kcal/mol elapsed=0.8s
hexafluoroethane,SNT-1,P34693,10,0.576,-4.2,OK,affinity=-4.20 kcal/mol elapsed=1.4s
methanol,SNT-1,P34693,10,0.576,-1.3,OK,affinity=-1.30 kcal/mol elapsed=0.8s
npentane,SNT-1,P34693,10,0.576,-3.2,OK,affinity=-3.20 kcal/mol elapsed=1.5s
trans_12_dichloroethylene,SNT-1,P34693,10,0.576,-2.2,OK,affinity=-2.20 kcal/mol elapsed=0.8s
benzene,SNT-1,P34693,34,0.172,-3.2,OK,affinity=-3.20 kcal/mol elapsed=1.0s
cis_12_dichloroethylene,SNT-1,P34693,34,0.172,-2.2,OK,affinity=-2.20 kcal/mol elapsed=0.9s
cyclohexane,SNT-1,P34693,34,0.172,-3.2,OK,affinity=-3.20 kcal/mol elapsed=1.0s
dimethyl_ether,SNT-1,P34693,34,0.172,-1.6,OK,affinity=-1.60 kcal/mol elapsed=0.8s
hexafluoroethane,SNT-1,P34693,34,0.172,-3.7,OK,affinity=-3.70 kcal/mol elapsed=1.5s
methanol,SNT-1,P34693,34,0.172,-1.6,OK,affinity=-1.60 kcal/mol elapsed=0.8s
npentane,SNT-1,P34693,34,0.172,-2.8,OK,affinity=-2.80 kcal/mol elapsed=1.5s
trans_12_dichloroethylene,SNT-1,P34693,34,0.172,-2.2,OK,affinity=-2.20 kcal/mol elapsed=0.9s
benzene,TWK-18,Q18120,31,0.815,-4.3,OK,affinity=-4.30 kcal/mol elapsed=1.6s
cis_12_dichloroethylene,TWK-18,Q18120,31,0.815,-2.7,OK,affinity=-2.70 kcal/mol elapsed=1.7s
cyclohexane,TWK-18,Q18120,31,0.815,-4.1,OK,affinity=-4.10 kcal/mol elapsed=1.6s
dimethyl_ether,TWK-18,Q18120,31,0.815,-1.9,OK,affinity=-1.90 kcal/mol elapsed=1.6s
hexafluoroethane,TWK-18,Q18120,31,0.815,-4.6,OK,affinity=-4.60 kcal/mol elapsed=2.2s
methanol,TWK-18,Q18120,31,0.815,-2.1,OK,affinity=-2.10 kcal/mol elapsed=1.6s
npentane,TWK-18,Q18120,31,0.815,-3.8,OK,affinity=-3.80 kcal/mol elapsed=2.1s
trans_12_dichloroethylene,TWK-18,Q18120,31,0.815,-2.7,OK,affinity=-2.70 kcal/mol elapsed=1.7s
benzene,TWK-18,Q18120,1,0.184,-4.3,OK,affinity=-4.30 kcal/mol elapsed=1.1s
cis_12_dichloroethylene,TWK-18,Q18120,1,0.184,-2.7,OK,affinity=-2.70 kcal/mol elapsed=1.0s
cyclohexane,TWK-18,Q18120,1,0.184,-4.1,OK,affinity=-4.10 kcal/mol elapsed=1.1s
dimethyl_ether,TWK-18,Q18120,1,0.184,-1.8,OK,affinity=-1.80 kcal/mol elapsed=0.9s
hexafluoroethane,TWK-18,Q18120,1,0.184,-4.6,OK,affinity=-4.60 kcal/mol elapsed=1.6s
methanol,TWK-18,Q18120,1,0.184,-1.7,OK,affinity=-1.70 kcal/mol elapsed=0.9s
npentane,TWK-18,Q18120,1,0.184,-3.9,OK,affinity=-3.90 kcal/mol elapsed=1.5s
trans_12_dichloroethylene,TWK-18,Q18120,1,0.184,-2.7,OK,affinity=-2.70 kcal/mol elapsed=1.0s
benzene,TWK-18,Q18120,3,0.058,-4.3,OK,affinity=-4.30 kcal/mol elapsed=1.2s
cis_12_dichloroethylene,TWK-18,Q18120,3,0.058,-2.7,OK,affinity=-2.70 kcal/mol elapsed=1.1s
cyclohexane,TWK-18,Q18120,3,0.058,-4.1,OK,affinity=-4.10 kcal/mol elapsed=1.2s
