anesthetic,gene,uniprot_acc,pocket_id,druggability_score,affinity_kcal_per_mol
sevoflurane,SNT-1,P34693,34,0.172,-4.3
sevoflurane,TWK-18,Q18120,1,0.184,-4.9
sevoflurane,TWK-18,Q18120,31,0.815,-4.9
sevoflurane,TWK-18,Q18120,3,0.058,-4.8
sevoflurane,TWK-29,Q564V7,19,0.908,-4.6
sevoflurane,TWK-29,Q564V7,1,0.409,-5.3
sevoflurane,TWK-29,Q564V7,34,0.106,-4.0
sevoflurane,TWK-7,P34410,17,0.06,-4.4
sevoflurane,TWK-7,P34410,24,0.151,-4.3
sevoflurane,TWK-7,P34410,3,0.165,-5.3
sevoflurane,UNC-13,P27715,140,0.845,-4.8
sevoflurane,UNC-13,P27715,149,0.187,-4.8
sevoflurane,UNC-13,P27715,153,0.201,-4.8
sevoflurane,UNC-18,P34815,12,0.612,-5.1
sevoflurane,UNC-18,P34815,39,0.521,-3.7
sevoflurane,UNC-18,P34815,3,0.315,-6.1
sevoflurane,UNC-29,P48181,1,0.67,-4.6
sevoflurane,UNC-29,P48181,2,0.083,-4.5
sevoflurane,UNC-29,P48181,3,0.027,-4.7
sevoflurane,UNC-38,Q23022,38,0.168,-4.6
sevoflurane,UNC-38,Q23022,3,0.564,-5.2
sevoflurane,UNC-38,Q23022,6,0.201,-4.2
sevoflurane,UNC-49,G5EBQ0,11,0.026,-4.4
sevoflurane,UNC-49,G5EBQ0,13,0.363,-4.6
sevoflurane,UNC-49,G5EBQ0,7,0.574,-4.2
sevoflurane,UNC-63,Q9N587,12,0.644,-5.0
sevoflurane,UNC-63,Q9N587,2,0.339,-5.7
sevoflurane,UNC-63,Q9N587,3,0.513,-4.3
sevoflurane,UNC-64,O16000,15,0.168,-4.6
sevoflurane,UNC-64,O16000,2,0.211,-3.0
sevoflurane,UNC-64,O16000,7,0.156,-3.3
sevoflurane,UNC-79,P42173,17,0.446,-4.5
sevoflurane,UNC-79,P42173,4,0.163,-3.8
sevoflurane,UNC-79,P42173,53,0.664,-4.7
