anesthetic,gene,uniprot_acc,pocket_id,druggability_score,center_x,center_y,center_z,size_x,size_y,size_z,affinity_kcal_per_mol,status,message
propofol,AVR-15,G5ECH3,25,0.728,,,,,,,-6.9,OK,
propofol,AVR-15,G5ECH3,27,0.226,,,,,,,-6.1,OK,
propofol,EXP-1,G5ECJ0,2,0.984,,,,,,,-5.2,OK,
propofol,EXP-1,G5ECJ0,57,0.697,,,,,,,-5.2,OK,
propofol,EXP-1,G5ECJ0,6,0.823,,,,,,,-5.2,OK,
propofol,GAS-1,Q93873,11,0.885,,,,,,,-5.0,OK,
propofol,GAS-1,Q93873,14,0.007,,,,,,,-5.2,OK,
propofol,GAS-1,Q93873,5,0.358,,,,,,,-5.4,OK,
propofol,GLC-1,G5EBR3,19,0.145,,,,,,,-5.2,OK,
propofol,GLC-1,G5EBR3,5,0.102,,,,,,,-5.4,OK,
propofol,GLC-1,G5EBR3,8,0.306,,,,,,,-5.2,OK,
propofol,GLC-2,Q17328,30,0.448,,,,,,,-4.8,OK,
propofol,GLC-2,Q17328,6,0.44,,,,,,,-5.0,OK,
propofol,GLC-2,Q17328,7,0.322,,,,,,,-4.1,OK,
propofol,LEV-1,Q27218,2,0.756,,,,,,,-5.6,OK,
propofol,LEV-1,Q27218,3,0.02,,,,,,,-5.2,OK,
propofol,LEV-1,Q27218,6,0.037,,,,,,,-4.8,OK,
propofol,MEV-1,P41956,10,0.866,,,,,,,-5.6,OK,
propofol,MEV-1,P41956,15,0.328,,,,,,,-5.3,OK,
propofol,MEV-1,P41956,1,0.792,,,,,,,-5.9,OK,
propofol,NCA-2,G5EDM1,171,0.964,,,,,,,-5.5,OK,
propofol,NCA-2,G5EDM1,173,0.989,,,,,,,-5.2,OK,
propofol,NCA-2,G5EDM1,175,0.944,,,,,,,-5.7,OK,
propofol,NLF-1,M4Q8W4,13,0.389,,,,,,,-5.3,OK,
propofol,NLF-1,M4Q8W4,14,0.402,,,,,,,-5.1,OK,
propofol,NLF-1,M4Q8W4,6,0.265,,,,,,,-4.8,OK,
propofol,NUO-1,Q17880,14,0.011,,,,,,,-6.5,OK,
propofol,NUO-1,Q17880,18,0.769,,,,,,,-6.5,OK,
propofol,NUO-1,Q17880,5,0.012,,,,,,,-5.1,OK,
propofol,NUO-2,Q86NC2,14,0.005,,,,,,,-4.8,OK,
propofol,NUO-2,Q86NC2,16,0.011,,,,,,,-4.7,OK,
propofol,NUO-2,Q86NC2,2,0.106,,,,,,,-6.2,OK,
propofol,NUO-3,O18236,1,0.963,,,,,,,-7.7,OK,
propofol,NUO-3,O18236,5,0.006,,,,,,,-4.8,OK,
propofol,NUO-3,O18236,8,0.002,,,,,,,-6.7,OK,
propofol,NUO-4,Q21233,16,0.398,,,,,,,-5.8,OK,
propofol,NUO-4,Q21233,1,0.403,,,,,,,-5.2,OK,
propofol,NUO-4,Q21233,23,0.224,,,,,,,-5.1,OK,
propofol,RIC-4,A5PEW5,3,0.082,,,,,,,-4.5,OK,
propofol,RIC-4,A5PEW5,5,0.059,,,,,,,-5.3,OK,
propofol,RIC-4,A5PEW5,7,0.054,,,,,,,-5.4,OK,
propofol,SNB-1,O02495,1,0.308,,,,,,,-4.2,OK,
propofol,SNB-1,O02495,2,0.219,,,,,,,-4.7,OK,
propofol,SNB-1,O02495,3,0.549,,,,,,,-4.7,OK,
propofol,SNT-1,P34693,10,0.576,,,,,,,-5.2,OK,
propofol,SNT-1,P34693,30,0.678,,,,,,,-5.4,OK,
propofol,SNT-1,P34693,34,0.172,,,,,,,-5.4,OK,
propofol,TWK-18,Q18120,1,0.184,,,,,,,-6.0,OK,
propofol,TWK-18,Q18120,31,0.815,,,,,,,-6.0,OK,
propofol,TWK-18,Q18120,3,0.058,,,,,,,-6.0,OK,
propofol,TWK-29,Q564V7,19,0.908,,,,,,,-6.0,OK,
propofol,TWK-29,Q564V7,1,0.409,,,,,,,-6.0,OK,
propofol,TWK-29,Q564V7,34,0.106,,,,,,,-5.2,OK,
propofol,TWK-7,P34410,17,0.06,,,,,,,-5.0,OK,
propofol,TWK-7,P34410,24,0.151,,,,,,,-5.2,OK,
propofol,TWK-7,P34410,3,0.165,,,,,,,-6.6,OK,
propofol,UNC-13,P27715,140,0.845,,,,,,,-5.5,OK,
propofol,UNC-13,P27715,149,0.187,,,,,,,-5.4,OK,
propofol,UNC-13,P27715,153,0.201,,,,,,,-5.4,OK,
propofol,UNC-18,P34815,12,0.612,,,,,,,-6.0,OK,
propofol,UNC-18,P34815,39,0.521,,,,,,,-4.7,OK,
propofol,UNC-18,P34815,3,0.315,,,,,,,-5.7,OK,
propofol,UNC-29,P48181,1,0.67,,,,,,,-4.4,OK,
propofol,UNC-29,P48181,2,0.083,,,,,,,-5.5,OK,
propofol,UNC-29,P48181,3,0.027,,,,,,,-5.2,OK,
propofol,UNC-38,Q23022,38,0.168,,,,,,,-5.3,OK,
propofol,UNC-38,Q23022,3,0.564,,,,,,,-5.6,OK,
propofol,UNC-38,Q23022,6,0.201,,,,,,,-5.0,OK,
propofol,UNC-49,G5EBQ0,11,0.026,,,,,,,-4.9,OK,
propofol,UNC-49,G5EBQ0,13,0.363,,,,,,,-5.5,OK,
propofol,UNC-49,G5EBQ0,7,0.574,,,,,,,-5.7,OK,
propofol,UNC-63,Q9N587,12,0.644,,,,,,,-5.3,OK,
propofol,UNC-63,Q9N587,2,0.339,,,,,,,-4.9,OK,
propofol,UNC-63,Q9N587,3,0.513,,,,,,,-4.9,OK,
propofol,UNC-64,O16000,15,0.168,,,,,,,-5.1,OK,
propofol,UNC-64,O16000,2,0.211,,,,,,,-3.7,OK,
propofol,UNC-64,O16000,7,0.156,,,,,,,-4.4,OK,
propofol,UNC-79,P42173,17,0.446,,,,,,,-5.6,OK,
propofol,UNC-79,P42173,4,0.163,,,,,,,-4.7,OK,
propofol,UNC-79,P42173,53,0.664,,,,,,,-5.5,OK,
sevoflurane,ACR-16,P48180,11,0.7,,,,,,,-4.6,OK,
sevoflurane,ACR-16,P48180,1,0.518,,,,,,,-6.0,OK,
sevoflurane,ACR-16,P48180,23,0.033,,,,,,,-5.1,OK,
sevoflurane,ACR-2,P48182,25,0.879,,,,,,,-4.5,OK,
sevoflurane,ACR-2,P48182,2,0.125,,,,,,,-5.2,OK,
sevoflurane,ACR-2,P48182,30,0.025,,,,,,,-4.3,OK,
sevoflurane,AVR-14,Q8IFY7,1,0.507,,,,,,,-5.5,OK,
sevoflurane,AVR-14,Q8IFY7,21,0.028,,,,,,,-5.4,OK,
sevoflurane,AVR-14,Q8IFY7,9,0.056,,,,,,,-3.2,OK,
sevoflurane,AVR-15,G5ECH3,13,0.917,,,,,,,-5.8,OK,
sevoflurane,AVR-15,G5ECH3,25,0.728,,,,,,,-5.9,OK,
sevoflurane,AVR-15,G5ECH3,27,0.226,,,,,,,-5.6,OK,
sevoflurane,EXP-1,G5ECJ0,2,0.984,,,,,,,-4.6,OK,
sevoflurane,EXP-1,G5ECJ0,57,0.697,,,,,,,-4.6,OK,
sevoflurane,EXP-1,G5ECJ0,6,0.823,,,,,,,-4.7,OK,
sevoflurane,GAS-1,Q93873,11,0.885,,,,,,,-3.7,OK,
sevoflurane,GAS-1,Q93873,14,0.007,,,,,,,-4.6,OK,
sevoflurane,GAS-1,Q93873,5,0.358,,,,,,,-4.6,OK,
sevoflurane,GLC-1,G5EBR3,19,0.145,,,,,,,-4.6,OK,
sevoflurane,GLC-1,G5EBR3,5,0.102,,,,,,,-4.3,OK,
sevoflurane,GLC-1,G5EBR3,8,0.306,,,,,,,-4.3,OK,
sevoflurane,GLC-2,Q17328,30,0.448,,,,,,,-4.9,OK,
sevoflurane,GLC-2,Q17328,6,0.44,,,,,,,-4.4,OK,
sevoflurane,GLC-2,Q17328,7,0.322,,,,,,,-5.0,OK,
sevoflurane,LEV-1,Q27218,2,0.756,,,,,,,-5.6,OK,
sevoflurane,LEV-1,Q27218,3,0.02,,,,,,,-4.5,OK,
sevoflurane,LEV-1,Q27218,6,0.037,,,,,,,-3.6,OK,
sevoflurane,MEV-1,P41956,10,0.866,,,,,,,-4.1,OK,
sevoflurane,MEV-1,P41956,15,0.328,,,,,,,-4.6,OK,
sevoflurane,MEV-1,P41956,1,0.792,,,,,,,-4.7,OK,
sevoflurane,NCA-2,G5EDM1,171,0.964,,,,,,,-4.7,OK,
sevoflurane,NCA-2,G5EDM1,173,0.989,,,,,,,-4.5,OK,
sevoflurane,NCA-2,G5EDM1,175,0.944,,,,,,,-4.9,OK,
sevoflurane,NLF-1,M4Q8W4,13,0.389,,,,,,,-4.3,OK,
sevoflurane,NLF-1,M4Q8W4,14,0.402,,,,,,,-4.2,OK,
sevoflurane,NLF-1,M4Q8W4,6,0.265,,,,,,,-3.8,OK,
sevoflurane,NUO-1,Q17880,14,0.011,,,,,,,-5.1,OK,
sevoflurane,NUO-1,Q17880,18,0.769,,,,,,,-5.2,OK,
sevoflurane,NUO-1,Q17880,5,0.012,,,,,,,-4.1,OK,
sevoflurane,NUO-2,Q86NC2,14,0.005,,,,,,,-4.0,OK,
sevoflurane,NUO-2,Q86NC2,16,0.011,,,,,,,-4.1,OK,
sevoflurane,NUO-2,Q86NC2,2,0.106,,,,,,,-5.2,OK,
sevoflurane,NUO-3,O18236,1,0.963,,,,,,,-5.8,OK,
sevoflurane,NUO-3,O18236,5,0.006,,,,,,,-4.0,OK,
sevoflurane,NUO-3,O18236,8,0.002,,,,,,,-5.4,OK,
sevoflurane,NUO-4,Q21233,16,0.398,,,,,,,-4.9,OK,
sevoflurane,NUO-4,Q21233,1,0.403,,,,,,,-5.2,OK,
sevoflurane,NUO-4,Q21233,23,0.224,,,,,,,-4.9,OK,
sevoflurane,RIC-4,A5PEW5,3,0.082,,,,,,,-4.5,OK,
sevoflurane,RIC-4,A5PEW5,5,0.059,,,,,,,-4.8,OK,
sevoflurane,RIC-4,A5PEW5,7,0.054,,,,,,,-4.8,OK,
sevoflurane,SNB-1,O02495,1,0.308,,,,,,,-3.0,OK,
sevoflurane,SNB-1,O02495,2,0.219,,,,,,,-3.9,OK,
sevoflurane,SNB-1,O02495,3,0.549,,,,,,,-3.8,OK,
sevoflurane,SNT-1,P34693,10,0.576,,,,,,,-4.4,OK,
sevoflurane,SNT-1,P34693,30,0.678,,,,,,,-4.3,OK,
sevoflurane,SNT-1,P34693,34,0.172,,,,,,,-4.3,OK,
sevoflurane,TWK-18,Q18120,1,0.184,,,,,,,-4.9,OK,
sevoflurane,TWK-18,Q18120,31,0.815,,,,,,,-4.9,OK,
sevoflurane,TWK-18,Q18120,3,0.058,,,,,,,-4.8,OK,
sevoflurane,TWK-29,Q564V7,19,0.908,,,,,,,-4.6,OK,
sevoflurane,TWK-29,Q564V7,1,0.409,,,,,,,-5.3,OK,
sevoflurane,TWK-29,Q564V7,34,0.106,,,,,,,-4.0,OK,
sevoflurane,TWK-7,P34410,17,0.06,,,,,,,-4.4,OK,
sevoflurane,TWK-7,P34410,24,0.151,,,,,,,-4.3,OK,
sevoflurane,TWK-7,P34410,3,0.165,,,,,,,-5.3,OK,
sevoflurane,UNC-13,P27715,140,0.845,,,,,,,-4.8,OK,
sevoflurane,UNC-13,P27715,149,0.187,,,,,,,-4.8,OK,
sevoflurane,UNC-13,P27715,153,0.201,,,,,,,-4.8,OK,
sevoflurane,UNC-18,P34815,12,0.612,,,,,,,-5.1,OK,
sevoflurane,UNC-18,P34815,39,0.521,,,,,,,-3.7,OK,
sevoflurane,UNC-18,P34815,3,0.315,,,,,,,-6.1,OK,
sevoflurane,UNC-29,P48181,1,0.67,,,,,,,-4.6,OK,
sevoflurane,UNC-29,P48181,2,0.083,,,,,,,-4.5,OK,
sevoflurane,UNC-29,P48181,3,0.027,,,,,,,-4.7,OK,
sevoflurane,UNC-38,Q23022,38,0.168,,,,,,,-4.6,OK,
sevoflurane,UNC-38,Q23022,3,0.564,,,,,,,-5.2,OK,
sevoflurane,UNC-38,Q23022,6,0.201,,,,,,,-4.2,OK,
sevoflurane,UNC-49,G5EBQ0,11,0.026,,,,,,,-4.4,OK,
sevoflurane,UNC-49,G5EBQ0,13,0.363,,,,,,,-4.6,OK,
sevoflurane,UNC-49,G5EBQ0,7,0.574,,,,,,,-4.2,OK,
sevoflurane,UNC-63,Q9N587,12,0.644,,,,,,,-5.0,OK,
sevoflurane,UNC-63,Q9N587,2,0.339,,,,,,,-5.7,OK,
sevoflurane,UNC-63,Q9N587,3,0.513,,,,,,,-4.3,OK,
sevoflurane,UNC-64,O16000,15,0.168,,,,,,,-4.6,OK,
sevoflurane,UNC-64,O16000,2,0.211,,,,,,,-3.0,OK,
sevoflurane,UNC-64,O16000,7,0.156,,,,,,,-3.3,OK,
sevoflurane,UNC-79,P42173,17,0.446,,,,,,,-4.5,OK,
sevoflurane,UNC-79,P42173,4,0.163,,,,,,,-3.8,OK,
sevoflurane,UNC-79,P42173,53,0.664,,,,,,,-4.7,OK,
