anesthetic,gene,mechanism_class,occupancy_1xEC50,parameter,shift_value,evidence_grade,source
sevoflurane,NCA-2,nca_block,0.978,g_max_factor,0.0220,LITERATURE,"Lu 2007 / Sedensky & Meneely 1987 PMID 3576211 — unc-79/80 resistance, NCA block"
sevoflurane,NLF-1,nca_block,0.942,g_max_factor,0.0580,LITERATURE,"Lu 2007 / Sedensky & Meneely 1987 PMID 3576211 — unc-79/80 resistance, NCA block"
sevoflurane,NUO-1,complex_i_block,0.987,rate_factor,0.7039,LITERATURE,Hanley 2002 / Kayser 2001 PMID 11278828 — Complex I sensitive to halogenated anesthetics
sevoflurane,NUO-2,complex_i_block,0.987,rate_factor,0.7039,LITERATURE,Hanley 2002 / Kayser 2001 PMID 11278828 — Complex I sensitive to halogenated anesthetics
sevoflurane,NUO-3,complex_i_block,0.995,rate_factor,0.7015,LITERATURE,Hanley 2002 / Kayser 2001 PMID 11278828 — Complex I sensitive to halogenated anesthetics
sevoflurane,NUO-4,complex_i_block,0.987,rate_factor,0.7039,LITERATURE,Hanley 2002 / Kayser 2001 PMID 11278828 — Complex I sensitive to halogenated anesthetics
sevoflurane,RIC-4,snare_cooperativity,0.432,n_Ca_delta,-0.6480,LITERATURE,Stewart 2000 PMID 11095753 + van Swinderen 1999 PMID 10051668 — SNARE Ca-cooperativity reduction
sevoflurane,SNB-1,snare_cooperativity,0.893,n_Ca_delta,-1.3395,LITERATURE,Stewart 2000 PMID 11095753 + van Swinderen 1999 PMID 10051668 — SNARE Ca-cooperativity reduction
sevoflurane,SNT-1,snare_cooperativity,0.279,n_Ca_delta,-0.4185,LITERATURE,Stewart 2000 PMID 11095753 + van Swinderen 1999 PMID 10051668 — SNARE Ca-cooperativity reduction
sevoflurane,TWK-18,k2p_potentiation,0.978,g_max_factor,2.9560,LITERATURE,Patel & Honoré 1999 — TASK / TREK-1 activated by volatile anesthetics
sevoflurane,TWK-29,k2p_potentiation,0.989,g_max_factor,2.9780,LITERATURE,Patel & Honoré 1999 — TASK / TREK-1 activated by volatile anesthetics
sevoflurane,TWK-7,k2p_potentiation,0.989,g_max_factor,2.9780,LITERATURE,Patel & Honoré 1999 — TASK / TREK-1 activated by volatile anesthetics
sevoflurane,UNC-13,snare_cooperativity,0.432,n_Ca_delta,-0.6480,LITERATURE,Stewart 2000 PMID 11095753 + van Swinderen 1999 PMID 10051668 — SNARE Ca-cooperativity reduction
sevoflurane,UNC-18,snare_cooperativity,0.873,n_Ca_delta,-1.3095,LITERATURE,Stewart 2000 PMID 11095753 + van Swinderen 1999 PMID 10051668 — SNARE Ca-cooperativity reduction
sevoflurane,UNC-29,nachr_antagonism,0.970,g_max_factor,0.3210,LITERATURE,Forman 1996 / Wachtel 1995 — halothane open-channel block at high occupancy
sevoflurane,UNC-38,nachr_antagonism,0.987,g_max_factor,0.3091,LITERATURE,Forman 1996 / Wachtel 1995 — halothane open-channel block at high occupancy
sevoflurane,UNC-49,gaba_potentiation,0.965,tau_decay_factor,3.8950,LITERATURE,Hales & Lambert 1991 — halothane potentiates GABA-A τ_decay 2-4× at clinical doses
sevoflurane,UNC-63,nachr_antagonism,0.994,g_max_factor,0.3042,LITERATURE,Forman 1996 / Wachtel 1995 — halothane open-channel block at high occupancy
sevoflurane,UNC-64,snare_cooperativity,0.965,n_Ca_delta,-1.4475,LITERATURE,Stewart 2000 PMID 11095753 + van Swinderen 1999 PMID 10051668 — SNARE Ca-cooperativity reduction
sevoflurane,UNC-79,nca_block,0.970,g_max_factor,0.0300,LITERATURE,"Lu 2007 / Sedensky & Meneely 1987 PMID 3576211 — unc-79/80 resistance, NCA block"
